STATE,COUNTY,POPESTIMATE2019
1,0,4903185
1,1,55869
1,3,223234
1,5,24686
1,7,22394
1,9,57826
1,11,10101
1,13,19448
1,15,113605
1,17,33254
1,19,26196
1,21,44428
1,23,12589
1,25,23622
1,27,13235
1,29,14910
1,31,52342
1,33,55241
1,35,12067
1,37,10663
1,39,37049
1,41,13772
1,43,83768
1,45,49172
1,47,37196
1,49,71513
1,51,81209
1,53,36633
1,55,102268
1,57,16302
1,59,31362
1,61,26271
1,63,8111
1,65,14651
1,67,17205
1,69,105882
1,71,51626
1,73,658573
1,75,13805
1,77,92729
1,79,32924
1,81,164542
1,83,98915
1,85,9726
1,87,18068
1,89,372909
1,91,18863
1,93,29709
1,95,96774
1,97,413210
1,99,20733
1,101,226486
1,103,119679
1,105,8923
1,107,19930
1,109,33114
1,111,22722
1,113,57961
1,115,89512
1,117,217702
1,119,12427
1,121,79978
1,123,40367
1,125,209355
1,127,63521
1,129,16326
1,131,10373
1,133,23629
2,0,731545
2,13,3337
2,16,5634
2,20,288000
2,50,18386
2,60,836
2,68,2097
2,70,4916
2,90,96849
2,100,2530
2,105,2148
2,110,31974
2,122,58708
2,130,13901
2,150,12998
2,158,8314
2,164,1592
2,170,108317
2,180,10004
2,185,9832
2,188,7621
2,195,3266
2,198,6203
2,220,8493
2,230,1183
2,240,6893
2,261,9202
2,275,2502
2,282,579
2,290,5230
4,0,7278717
4,1,71887
4,3,125922
4,5,143476
4,7,54018
4,9,38837
4,11,9498
4,12,21108
4,13,4485414
4,15,212181
4,17,110924
4,19,1047279
4,21,462789
4,23,46498
4,25,235099
4,27,213787
5,0,3017804
5,1,17486
5,3,19657
5,5,41932
5,7,279141
5,9,37432
5,11,10763
5,13,5189
5,15,28380
5,17,10118
5,19,22320
5,21,14551
5,23,24919
5,25,7956
5,27,23457
5,29,20846
5,31,110332
5,33,63257
5,35,47955
5,37,16419
5,39,7009
5,41,11361
5,43,18219
5,45,126007
5,47,17715
5,49,12477
5,51,99386
5,53,18265
5,55,45325
5,57,21532
5,59,33771
5,61,13202
5,63,37825
5,65,13629
5,67,16719
5,69,66824
5,71,26578
5,73,6624
5,75,16406
5,77,8857
5,79,13024
5,81,12259
5,83,21466
5,85,73309
5,87,16576
5,89,16694
5,91,43257
5,93,40651
5,95,6701
5,97,8986
5,99,8252
5,101,7753
5,103,23382
5,105,10455
5,107,17782
5,109,10718
5,111,23528
5,113,19964
5,115,64072
5,117,8062
5,119,391911
5,121,17958
5,123,24994
5,125,122437
5,127,10281
5,129,7881
5,131,127827
5,133,17007
5,135,17442
5,137,12506
5,139,38682
5,141,16545
5,143,239187
5,145,78753
5,147,6320
5,149,21341
