Geographic Area,Pop.2019
United States,328239523
In Metropolitan Statistical Area,282828515
"Abilene, TX",172060
"Akron, OH",703479
"Albany, GA",146726
"Albany-Lebanon, OR",129749
"Albany-Schenectady-Troy, NY",880381
"Albuquerque, NM",918018
"Alexandria, LA",152037
"Allentown-Bethlehem-Easton, PA-NJ",844052
"Altoona, PA",121829
"Amarillo, TX",265053
"Ames, IA",123351
"Anchorage, AK",396317
"Ann Arbor, MI",367601
"Anniston-Oxford, AL",113605
"Appleton, WI",237974
"Asheville, NC",462680
"Athens-Clarke County, GA",213750
"Atlanta-Sandy Springs-Alpharetta, GA",6020364
"Atlantic City-Hammonton, NJ",263670
"Auburn-Opelika, AL",164542
"Augusta-Richmond County, GA-SC",608980
"Austin-Round Rock-Georgetown, TX",2227083
"Bakersfield, CA",900202
"Baltimore-Columbia-Towson, MD",2800053
"Bangor, ME",152148
"Barnstable Town, MA",212990
"Baton Rouge, LA",854884
"Battle Creek, MI",134159
"Bay City, MI",103126
"Beaumont-Port Arthur, TX",392563
"Beckley, WV",115767
"Bellingham, WA",229247
"Bend, OR",197692
"Billings, MT",181667
"Binghamton, NY",238691
"Birmingham-Hoover, AL",1090435
"Bismarck, ND",128949
"Blacksburg-Christiansburg, VA",167531
"Bloomington, IL",171517
"Bloomington, IN",169230
"Bloomsburg-Berwick, PA",83194
"Boise City, ID",749202
"Boston-Cambridge-Newton, MA-NH",4873019
"Boston, MA Metro Division",2031884
"Cambridge-Newton-Framingham, MA Metro Division",2400733
"Rockingham County-Strafford County, NH Metro Division",440402
"Boulder, CO",326196
"Bowling Green, KY",179240
"Bremerton-Silverdale-Port Orchard, WA",271473
"Bridgeport-Stamford-Norwalk, CT",943332
"Brownsville-Harlingen, TX",423163
"Brunswick, GA",118779
"Buffalo-Cheektowaga, NY",1127983
"Burlington, NC",169509
"Burlington-South Burlington, VT",220411
"California-Lexington Park, MD",113510
"Canton-Massillon, OH",397520
"Cape Coral-Fort Myers, FL",770577
"Cape Girardeau, MO-IL",96765
"Carbondale-Marion, IL",135764
"Carson City, NV",55916
"Casper, WY",79858
"Cedar Rapids, IA",273032
"Chambersburg-Waynesboro, PA",155027
"Champaign-Urbana, IL",226033
"Charleston, WV",257074
"Charleston-North Charleston, SC",802122
"Charlotte-Concord-Gastonia, NC-SC",2636883
"Charlottesville, VA",218615
"Chattanooga, TN-GA",565194
"Cheyenne, WY",99500
"Chicago-Naperville-Elgin, IL-IN-WI",9458539
"Chicago-Naperville-Evanston, IL Metro Division",7122725
"Elgin, IL Metro Division",766290
"Gary, IN Metro Division",703428
"Lake County-Kenosha County, IL-WI Metro Division",866096
"Chico, CA",219186
"Cincinnati, OH-KY-IN",2221208
"Clarksville, TN-KY",307820
"Cleveland, TN",124942
"Cleveland-Elyria, OH",2048449
"Coeur d'Alene, ID",165697
"College Station-Bryan, TX",264728
"Colorado Springs, CO",745791
"Columbia, MO",208173
"Columbia, SC",838433
"Columbus, GA-AL",321048
"Columbus, IN",83779
"Columbus, OH",2122271
"Corpus Christi, TX",429024
"Corvallis, OR",93053
"Crestview-Fort Walton Beach-Destin, FL",284809
"Cumberland, MD-WV",97284
"Dallas-Fort Worth-Arlington, TX",7573136
"Dallas-Plano-Irving, TX Metro Division",5081942
"Fort Worth-Arlington-Grapevine, TX Metro Division",2491194
"Dalton, GA",144724
"Danville, IL",75758
"Daphne-Fairhope-Foley, AL",223234
"Davenport-Moline-Rock Island, IA-IL",379172
"Dayton-Kettering, OH",807611
"Decatur, AL",152603
"Decatur, IL",104009
"Deltona-Daytona Beach-Ormond Beach, FL",668365
"Denver-Aurora-Lakewood, CO",2967239
"Des Moines-West Des Moines, IA",699292
"Detroit-Warren-Dearborn, MI",4319629
"Detroit-Dearborn-Livonia, MI Metro Division",1749343
"Warren-Troy-Farmington Hills, MI Metro Division",2570286
"Dothan, AL",149358
"Dover, DE",180786
"Dubuque, IA",97311
"Duluth, MN-WI",288732
"Durham-Chapel Hill, NC",644367
"East Stroudsburg, PA",170271
"Eau Claire, WI",169304
"El Centro, CA",181215
"Elizabethtown-Fort Knox, KY",153928
"Elkhart-Goshen, IN",206341
