Geographic Area,Pop.2019
United States,328239523
In Micropolitan Statistical Area,27252936
"Aberdeen, SD",42668
"Aberdeen, WA",75061
"Ada, OK",38284
"Adrian, MI",98451
"Alamogordo, NM",67490
"Albemarle, NC",62806
"Albert Lea, MN",30281
"Albertville, AL",96774
"Alexander City, AL",51030
"Alexandria, MN",38141
"Alice, TX",51639
"Alma, MI",40711
"Alpena, MI",28405
"Altus, OK",24530
"Americus, GA",34781
"Amsterdam, NY",49221
"Andrews, TX",18705
"Angola, IN",34594
"Arcadia, FL",38001
"Ardmore, OK",58364
"Arkadelphia, AR",22320
"Ashland, OH",53484
"Ashtabula, OH",97241
"Astoria, OR",40224
"Atchison, KS",16073
"Athens, OH",65327
"Athens, TN",53794
"Athens, TX",82737
"Atmore, AL",36633
"Auburn, IN",43475
"Auburn, NY",76576
"Augusta-Waterville, ME",122302
"Austin, MN",40062
"Bainbridge, GA",26404
"Baraboo, WI",64442
"Bardstown, KY",46233
"Barre, VT",58409
"Bartlesville, OK",51527
"Batavia, NY",57280
"Batesville, AR",55267
"Bay City, TX",36643
"Beatrice, NE",21513
"Beaver Dam, WI",87839
"Bedford, IN",45370
"Beeville, TX",32565
"Bellefontaine, OH",45672
"Bemidji, MN",47188
"Bennettsville, SC",26118
"Bennington, VT",35470
"Berlin, NH",31563
"Big Rapids, MI",43453
"Big Spring, TX",36664
"Big Stone Gap, VA",41364
"Blackfoot, ID",46811
"Bluefield, WV-VA",105633
"Blytheville, AR",40651
"Bogalusa, LA",46194
"Bonham, TX",35514
"Boone, NC",56177
"Borger, TX",20938
"Bozeman, MT",114434
"Bradford, PA",40625
"Brainerd, MN",94834
"Branson, MO",55928
"Breckenridge, CO",31011
"Brenham, TX",35882
"Brevard, NC",34385
"Brookhaven, MS",34153
"Brookings, OR",22925
"Brookings, SD",35077
"Brownsville, TN",17304
"Brownwood, TX",37864
"Bucyrus-Galion, OH",41494
"Burley, ID",45069
"Burlington, IA-IL",45613
"Butte-Silver Bow, MT",34915
"Cadillac, MI",48749
"Calhoun, GA",57963
"Cambridge, MD",31929
"Cambridge, OH",38875
"Camden, AR",28571
"Campbellsville, KY",36710
"Cañon City, CO",47839
"Carlsbad-Artesia, NM",58460
"Carroll, IA",20165
"Cedar City, UT",54839
"Cedartown, GA",42613
"Celina, OH",41172
"Central City, KY",30622
"Centralia, IL",37205
"Centralia, WA",80707
"Charleston-Mattoon, IL",61387
"Chillicothe, OH",76666
"Clarksburg, WV",92399
"Clarksdale, MS",22124
"Clearlake, CA",64386
"Cleveland, MS",30628
"Clewiston, FL",42022
"Clinton, IA",46429
"Clovis, NM",48954
"Coffeyville, KS",31829
"Coldwater, MI",43517
"Columbus, MS",58595
"Columbus, NE",33470
"Concord, NH",151391
"Connersville, IN",23102
"Cookeville, TN",114272
"Coos Bay, OR",64487
"Cordele, GA",22372
"Corinth, MS",36953
"Cornelia, GA",45328
"Corning, NY",95379
"Corsicana, TX",50113
"Cortland, NY",47581
"Coshocton, OH",36600
"Craig, CO",13283
"Crawfordsville, IN",38338
"Crescent City, CA",27812
"Crossville, TN",60520
"Cullman, AL",83768
"Cullowhee, NC",58209
"Danville, KY",54609
"Danville, VA",100398
"Dayton, TN",33167
"Decatur, IN",35777
"Defiance, OH",38087
"Del Rio, TX",49025
"Deming, NM",23709
"DeRidder, LA",37497
"Dickinson, ND",32417
"Dixon, IL",34096
"Dodge City, KS",33619
"Douglas, GA",51438
"Dublin, GA",64090
"DuBois, PA",79255
"Dumas, TX",20940
"Duncan, OK",43143
"Durango, CO",56221
"Durant, OK",47995
"Dyersburg, TN",37159
"Eagle Pass, TX",58722
"Easton, MD",37181
"Edwards, CO",55127
"Effingham, IL",34008
"El Campo, TX",41556
"El Dorado, AR",38682
"Elizabeth City, NC",53287
"Elk City, OK",21859
"Elkins, WV",28695
"Elko, NV",54807
"Ellensburg, WA",47935
"Emporia, KS",35843
"Enterprise, AL",52342
"Escanaba, MI",35784
"Española, NM",38921
"Eufaula, AL-GA",26985
"Eureka-Arcata, CA",135558
"Evanston, WY",20226
"Fairfield, IA",18295
"Fairmont, MN",19683
"Fairmont, WV",56072
"Fallon, NV",24909
"Faribault-Northfield, MN",66972
"Farmington, MO",67215
"Fergus Falls, MN",58746
"Fernley, NV",57510
"Findlay, OH",75783
"Fitzgerald, GA",16700
"Forest City, NC",67029
"Forrest City, AR",24994
"Fort Dodge, IA",35904
"Fort Leonard Wood, MO",52607
"Fort Madison-Keokuk, IA-IL-MO",58162
"Fort Morgan, CO",29068
"Fort Payne, AL",71513
"Fort Polk South, LA",47429
"Frankfort, IN",32399
"Frankfort, KY",73738
"Fredericksburg, TX",26988
"Freeport, IL",44498
"Fremont, NE",36565
"Fremont, OH",58518
"Gaffney, SC",57300
"Gainesville, TX",41257
"Galesburg, IL",49699
"Gallup, NM",71367
"Garden City, KS",40305
"Gardnerville Ranchos, NV",48905
"Georgetown, SC",62680
"Gillette, WY",60852
"Glasgow, KY",54320
"Glenwood Springs, CO",77828
"Gloversville, NY",53383
"Granbury, TX",61643
"Grand Rapids, MN",45130
"Grants, NM",26675
"Great Bend, KS",25779
"Greeneville, TN",69069
"Greensburg, IN",26559
"Greenville, MS",43909
"Greenville, OH",51113
"Greenwood, MS",38130
"Greenwood, SC",70811
"Grenada, MS",20758
"Guymon, OK",19983
"Hailey, ID",24127
"Hannibal, MO",38839
"Harrison, AR",45185
"Hastings, NE",31363
"Hays, KS",28553
"Heber, UT",76236
"Helena, MT",81653
"Helena-West Helena, AR",17782
"Henderson, NC",44535
"Hereford, TX",18546
"Hermiston-Pendleton, OR",89553
"Hillsdale, MI",45605
"Hilo, HI",201513
"Hobbs, NM",71070
"Holland, MI",118081
"Hood River, OR",23382
"Hope, AR",29784
"Houghton, MI",37800
"Hudson, NY",59461
"Huntingdon, PA",45144
"Huntington, IN",36520
"Huntsville, TX",72971
"Huron, SD",20466
"Hutchinson, KS",61998
"Hutchinson, MN",35893
"Indiana, PA",84073
"Indianola, MS",25110
"Iron Mountain, MI-WI",29534
"Jackson, OH",32413
"Jackson, WY-ID",35606
"Jacksonville, IL",38609
"Jacksonville, TX",52646
"Jamestown, ND",20704
"Jamestown-Dunkirk-Fredonia, NY",126903
"Jasper, AL",63521
"Jasper, IN",55125
"Jefferson, GA",72977
"Jennings, LA",31368
"Jesup, GA",29927
"Juneau, AK",31974
"Kalispell, MT",103806
"Kapaa, HI",72293
"Kearney, NE",56154
"Keene, NH",76085
"Kendallville, IN",47744
"Kennett, MO",29131
"Kerrville, TX",52600
"Ketchikan, AK",13901
"Key West, FL",74228
"Kill Devil Hills, NC",37009
"Kingsville, TX",31084
"Kinston, NC",55949
"Kirksville, MO",30003
"Klamath Falls, OR",68238
"Laconia, NH",61303
"La Grande, OR",26835
"LaGrange, GA-AL",103176
"Lake City, FL",71686
"Lamesa, TX",12728
"Laramie, WY",38880
"Las Vegas, NM",31798
"Laurel, MS",84481
"Laurinburg, NC",34823
"Lawrenceburg, TN",44142
"Lebanon, MO",35723
"Lebanon, NH-VT",216986
"Levelland, TX",23021
"Lewisburg, PA",44923
"Lewisburg, TN",34375
"Lewistown, PA",46138
"Lexington, NE",25585
"Liberal, KS",21428
"Lincoln, IL",28618
"Lock Haven, PA",38632
"Logansport, IN",37689
"London, KY",148123
"Los Alamos, NM",19369
"Ludington, MI",29144
"Lufkin, TX",86715
"Lumberton, NC",130625
"Macomb, IL",29682
"Madison, IN",32308
"Madisonville, KY",44686
"Magnolia, AR",23457
"Malone, NY",50022
"Malvern, AR",33771
"Manitowoc, WI",78981
"Marietta, OH",59911
"Marinette, WI-MI",63130
"Marion, IN",65769
"Marion, NC",45756
"Marion, OH",65093
"Marquette, MI",66699
"Marshall, MN",25474
"Marshall, MO",22761
"Marshalltown, IA",39369
"Martin, TN",33328
"Martinsville, VA",63111
"Maryville, MO",22092
"Mason City, IA",49831
"Mayfield, KY",37266
"Maysville, KY",17070
"McAlester, OK",43654
"McComb, MS",39288
"McMinnville, TN",41277
"McPherson, KS",28542
"Meadville, PA",84629
"Menomonie, WI",45368
"Meridian, MS",99408
"Mexico, MO",25388
"Miami, OK",31127
"Middlesborough, KY",26032
"Milledgeville, GA",53347
"Minden, LA",38340
"Mineral Wells, TX",29189
"Minot, ND",75713
"Mitchell, SD",23228
"Moberly, MO",24748
"Montrose, CO",47710
"Morehead City, NC",69473
"Morgan City, LA",49348
"Moscow, ID",40108
"Moses Lake, WA",97733
"Moultrie, GA",45600
"Mountain Home, AR",41932
"Mountain Home, ID",27511
"Mount Airy, NC",71783
"Mount Gay-Shamrock, WV",32019
"Mount Pleasant, MI",69872
"Mount Pleasant, TX",45844
"Mount Sterling, KY",47146
"Mount Vernon, IL",37684
"Mount Vernon, OH",62322
"Murray, KY",39001
"Muscatine, IA",42664
"Muskogee, OK",67997
"Nacogdoches, TX",65204
"Natchez, MS-LA",49952
"Natchitoches, LA",38158
"Newberry, SC",38440
"New Castle, IN",47972
"New Castle, PA",85512
"New Philadelphia-Dover, OH",91987
"Newport, OR",49962
"Newport, TN",36004
"New Ulm, MN",25008
"Nogales, AZ",46498
"Norfolk, NE",48167
"North Platte, NE",36156
"North Vernon, IN",27735
"North Wilkesboro, NC",68412
"Norwalk, OH",58266
"Oak Harbor, WA",85141
"Ogdensburg-Massena, NY",107740
"Oil City, PA",50668
"Okeechobee, FL",42168
"Olean, NY",76117
"Oneonta, NY",59493
"Ontario, OR-ID",54522
"Opelousas, LA",82124
"Orangeburg, SC",86175
"Oskaloosa, IA",22095
"Othello, WA",19983
"Ottawa, IL",147036
"Ottawa, KS",25544
"Ottumwa, IA",34969
"Owatonna, MN",36649
"Oxford, MS",54019
"Ozark, AL",49172
"Paducah, KY-IL",96272
"Pahrump, NV",46523
"Palatka, FL",74521
"Palestine, TX",57735
"Pampa, TX",22740
"Paragould, AR",45325
"Paris, TN",32345
"Paris, TX",49859
"Parsons, KS",19618
"Payson, AZ",54018
"Pearsall, TX",20306
"Pecos, TX",16145
"Pella, IA",33253
"Peru, IN",35516
